model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-medium,ha_ng,tonal_low,15,24,0.748986,264
whisper-medium,ha_ng,tonal_low,16,24,0.703583,264
whisper-medium,ha_ng,tonal_low,17,24,0.723411,264
whisper-medium,ha_ng,tonal_low,18,24,0.696964,264
whisper-medium,ha_ng,tonal_low,19,24,0.769464,264
whisper-medium,ha_ng,tonal_low,20,24,0.74652,264
whisper-medium,ha_ng,tonal_low,21,24,0.702726,264
whisper-medium,ha_ng,tonal_low,22,24,0.716297,264
whisper-medium,ha_ng,tonal_low,23,24,0.771509,264
whisper-medium,ha_ng,tonal_low,24,24,0.77071,264
