model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-large-v3,th_th,tonal_mid,18,32,0.94797,264
whisper-large-v3,th_th,tonal_mid,19,32,0.956739,264
whisper-large-v3,th_th,tonal_mid,20,32,0.954992,264
whisper-large-v3,th_th,tonal_mid,21,32,0.959983,264
whisper-large-v3,th_th,tonal_mid,22,32,0.953881,264
whisper-large-v3,th_th,tonal_mid,23,32,0.948978,264
whisper-large-v3,th_th,tonal_mid,24,32,0.939162,264
whisper-large-v3,th_th,tonal_mid,25,32,0.925607,264
whisper-large-v3,th_th,tonal_mid,26,32,0.926367,264
whisper-large-v3,th_th,tonal_mid,27,32,0.913052,264
whisper-large-v3,th_th,tonal_mid,28,32,0.891567,264
whisper-large-v3,th_th,tonal_mid,29,32,0.904439,264
whisper-large-v3,th_th,tonal_mid,30,32,0.897411,264
whisper-large-v3,th_th,tonal_mid,31,32,0.894716,264
whisper-large-v3,th_th,tonal_mid,32,32,0.893519,264
whisper-large-v3,af_za,?,1,32,0.966767,264
whisper-large-v3,af_za,?,2,32,0.932644,264
whisper-large-v3,af_za,?,3,32,0.950598,264
whisper-large-v3,af_za,?,4,32,0.944134,264
whisper-large-v3,af_za,?,5,32,0.93494,264
whisper-large-v3,af_za,?,6,32,0.957445,264
whisper-large-v3,af_za,?,7,32,0.945245,264
whisper-large-v3,af_za,?,8,32,0.924401,264
whisper-large-v3,af_za,?,9,32,0.932211,264
whisper-large-v3,af_za,?,10,32,0.926101,264
whisper-large-v3,af_za,?,11,32,0.964801,264
whisper-large-v3,af_za,?,12,32,0.943978,264
whisper-large-v3,af_za,?,13,32,0.936344,264
whisper-large-v3,af_za,?,14,32,0.959776,264
whisper-large-v3,af_za,?,15,32,0.93743,264
whisper-large-v3,af_za,?,16,32,0.953438,264
whisper-large-v3,af_za,?,17,32,0.95924,264
whisper-large-v3,af_za,?,18,32,0.945221,264
whisper-large-v3,af_za,?,19,32,0.955355,264
whisper-large-v3,af_za,?,20,32,0.953402,264
whisper-large-v3,af_za,?,21,32,0.959116,264
